objectID,name,dominantColor,gender,image
910798091389,ECCO APPARITION MEDIUM,Pink,Genderless,https://p3.aprimocdn.net/ecco/e8f4e493-e596-4947-9c11-b14f012de880/9107980-91389-m_eCom.png
910797391382,ECCO UPCYCLED LARGE CAMO,Multicolor,Genderless,https://p3.aprimocdn.net/ecco/214a66ae-19d7-4457-ac55-b15000d571ef/9107973-91382-m_eCom.png
910798390000,ECCO PACKABLE NORTH-SOUTH,Black,Genderless,https://p3.aprimocdn.net/ecco/0c5e1b22-4635-43ce-99b4-b14f012e1e36/9107983-90000-m_eCom.png
910798290000,ECCO PACKABLE EAST-WEST,Black,Genderless,https://p3.aprimocdn.net/ecco/76739b5e-7558-48de-b397-b14f012e070e/9107982-90000-m_eCom.png
910796790099,ECCO SOFT LARGE PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/9b1922c0-d05d-451a-a7cf-b15000d5637e/9107967-90099-m_eCom.png
910797091382,ECCO PINCH L SOFT CAMO,Multicolor,Genderless,https://p3.aprimocdn.net/ecco/40cf8720-72c5-4795-b280-b14f012db58f/9107970-91382-m_eCom.png
910795990000,ECCO SOFT NORTH-SOUTH,Black,Genderless,https://p3.aprimocdn.net/ecco/1f353b3e-8494-48f7-98ea-b14f012d0850/9107959-90000-m_eCom.png
910793291375,ECCO PINCH LARGE SOFT SMOOTH,Yellow,Genderless,https://p3.aprimocdn.net/ecco/17362e46-8e2e-4efd-bc74-b14f012bdfbd/9107932-91375-m_eCom.png
910795290000,ECCO FORTUNE SOFT PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/e276ae37-1cad-4690-85f5-b14f012c5452/9107952-90000-m_eCom.png
910792490395,ECCO PINCH MEDIUM SOFT SHINE PEBBLED,Red,Genderless,https://p3.aprimocdn.net/ecco/fe87ab7a-83b5-4206-bc87-b14f012b8c04/9107924-90395-m_eCom.png
910777691130,ECCO PINCH LARGE PEBBLED,Red,Genderless,https://p3.aprimocdn.net/ecco/aa1068b6-429e-41b5-80ad-b14f012ac765/9107776-91130-m_eCom.png
910777690000,ECCO PINCH LARGE PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/df1bc9fd-c34b-42a2-b02d-b0ad00b0f74b/9107776-90000-m_eCom.png
910780290000,ECCO SAIL PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/210a583b-71cc-4d9f-9750-b0ba015aec6d/9107802-90000-m_eCom.png
910796790000,ECCO SOFT LARGE PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/f64b141a-9a06-4c35-83f0-b15000d5591e/9107967-90000-m_eCom.png
910810390000,ECCO Tote Globetrotter,Black,Genderless,https://p3.aprimocdn.net/ecco/77f91c53-5a3c-403a-9ace-b1ee00aca049/9108103-90000-m_eCom.png
86040351052,ECCO STREET ACE RUGGED,Black,Female,https://p3.aprimocdn.net/ecco/d994ea29-0968-48d4-96aa-b0c800a7e5b7/860403-51052-o_eCom.png
86021402014,ECCO STREET ACE RAL7000,Brown,Male,https://p3.aprimocdn.net/ecco/ed7b268c-7527-40f9-af05-b1a200ce3c9d/860214-02014-o_eCom.png
55060451052,ECCO TRACK 30,Black,Male,https://p3.aprimocdn.net/ecco/a482d191-b728-4a45-84d7-b0c300f414b0/550604-51052-o_eCom.png
22352301001,ECCO METROPOLE SEOUL 45,Black,Female,https://p3.aprimocdn.net/ecco/0b900ccf-1188-49bc-8da7-b1a200fe6a71/223523-01001-o_eCom.png
22070358261,ECCO TRACK 30,Grey,Female,https://p3.aprimocdn.net/ecco/fe482a2e-00cd-4189-8935-b0c100b7b696/220703-58261-o_eCom.png
9150450659,ECCO BIOM C LOW,Black,Male,https://p3.aprimocdn.net/ecco/be28b520-2252-4aae-9650-b088009ab8d6/091504-50659-o_eCom.png
9150350659,ECCO BIOM C LOW,Black,Female,https://p3.aprimocdn.net/ecco/4bbf54a9-b5a9-40f6-859a-b04a00a031d8/091503-50659-o_eCom.png
9150301007,ECCO BIOM C LOW,White,Female,https://p3.aprimocdn.net/ecco/f51f4d2e-1555-44c4-ab36-b01800f3fa16/091503-01007-o_eCom.png
910781290000,ECCO TOTE L PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/071bcfa1-b71f-4b39-a42f-b0b201585746/9107812-90000-m_eCom.png
85680450874,ECCO STREET ACE,White,Male,https://p3.aprimocdn.net/ecco/0766bdfa-074d-4ddc-afb3-b08c0099fcb1/856804-50874-o_eCom.png
85680351052,ECCO STREET ACE,Black,Female,https://p3.aprimocdn.net/ecco/d14e5c08-43ff-46e1-a8dd-b0c1011d4301/856803-51052-o_eCom.png
85680350874,ECCO STREET ACE,White,Female,https://p3.aprimocdn.net/ecco/6e73c51a-7903-49d3-81c5-b0c1011d36a7/856803-50874-o_eCom.png
83170450843,ECCO TRACK 25,Grey,Male,https://p3.aprimocdn.net/ecco/8de03875-ab7e-4f10-a706-b0c7010ca657/831704-50843-o_eCom.png
82242351052,ECCO OFFROAD,Black,Female,https://p3.aprimocdn.net/ecco/a7c42647-f23c-4fdb-809b-b0c10114357f/822423-51052-o_eCom.png
82240401001,ECCO OFFROAD,Black,Male,https://p3.aprimocdn.net/ecco/6a7cc8eb-571a-49ee-b7a2-b0be0107b904/822404-01001-o_eCom.png
80325360955,ECCO BIOM C-TRAIL,White,Female,https://p3.aprimocdn.net/ecco/5082132a-8c39-4eba-b211-b01800ea8772/803253-60955-o_eCom.png
80325351094,ECCO BIOM C-TRAIL,Black,Female,https://p3.aprimocdn.net/ecco/e6973ab7-6896-4cbd-98af-b02e0108ebbf/803253-51094-o_eCom.png
55061451052,ECCO TRACK 30,Black,Male,https://p3.aprimocdn.net/ecco/135602a8-38b1-4d00-b12b-b0c100e288d9/550614-51052-o_eCom.png
910796891376,ECCO SOFT MEDIUM PEBBLED,Purple,Genderless,https://p3.aprimocdn.net/ecco/717c565b-8d0f-4a17-bd47-b14f01454848/9107968-91376-m_eCom.png
910796891373,ECCO SOFT MEDIUM PEBBLED,Blue,Genderless,https://p3.aprimocdn.net/ecco/51a25daa-91d2-4c06-a585-b14f012d9d32/9107968-91373-m_eCom.png
22269301001,ECCO SCULPTED LX 55,Black,Female,https://p3.aprimocdn.net/ecco/d31e6e8c-c8b8-438d-9ea0-b0c000943af1/222693-01001-o_eCom.png
910800390849,ECCO PINCH SOFT L,Pink,Genderless,https://p3.aprimocdn.net/ecco/92361192-99f6-49a7-b55f-b13a0136c398/9108003-90849-m_eCom.png
910800390000,ECCO PINCH SOFT L,Black,Genderless,https://p3.aprimocdn.net/ecco/8902f823-4b7b-4baf-8908-b13a0136ae97/9108003-90000-m_eCom.png
910797191382,ECCO POT CAMO,Multicolor,Genderless,https://p3.aprimocdn.net/ecco/82fe1a96-7a1c-4503-af93-b0ad00b3fe87/9107971-91382-m_eCom.png
83170452600,ECCO TRACK 25,Brown,Male,https://p3.aprimocdn.net/ecco/04e2afa9-2a82-4595-9552-b06600df6699/831704-52600-o_eCom.png
85681451052,ECCO STREET ACE,Black,Male,https://p3.aprimocdn.net/ecco/7a559841-7624-4702-aeeb-b0c001304b21/856814-51052-o_eCom.png
85681450874,ECCO STREET ACE,White,Male,https://p3.aprimocdn.net/ecco/7c773a71-f6a4-4bcb-956a-b0c001301a07/856814-50874-o_eCom.png
85681351052,ECCO STREET ACE,Black,Female,https://p3.aprimocdn.net/ecco/fcd7336d-68eb-462f-a282-b0c400b772a4/856813-51052-o_eCom.png
85681350874,ECCO STREET ACE,White,Female,https://p3.aprimocdn.net/ecco/8792dd3e-34ae-4f8d-a89e-b0c2010a0ed7/856813-50874-o_eCom.png
83640401053,ECCO ST.1 HYBRID,Brown,Male,https://p3.aprimocdn.net/ecco/77a5573e-78a2-47dd-8a41-b03b009bdf9f/836404-01053-o_eCom.png
83640401001,ECCO ST.1 HYBRID,Black,Male,https://p3.aprimocdn.net/ecco/f0461a50-b329-46dc-9bb2-b09600a155e8/836404-01001-o_eCom.png
82563401007,ECCO BIOM INFINITE,White,Male,https://p3.aprimocdn.net/ecco/19906ac0-b054-49fb-b98a-b11000e15d6a/825634-01007-o_eCom.png
82563401001,ECCO BIOM INFINITE,Black,Male,https://p3.aprimocdn.net/ecco/f59c0f21-f520-484d-9cda-b11100b20e11/825634-01001-o_eCom.png
82563301007,ECCO BIOM INFINITE,White,Female,https://p3.aprimocdn.net/ecco/28b2b18b-10cb-40c3-9171-b11001153aa4/825633-01007-o_eCom.png
82563301001,ECCO BIOM INFINITE,Black,Female,https://p3.aprimocdn.net/ecco/c8057bad-36b3-4eb5-a667-b11000f834d6/825633-01001-o_eCom.png
82243451052,ECCO OFFROAD,Black,Male,https://p3.aprimocdn.net/ecco/8f50b422-b5cd-461b-b955-b0b900ee1b51/822434-51052-o_eCom.png
55021460408,ECCO METROPOLE OSLO,Brown,Male,https://p3.aprimocdn.net/ecco/1a6c0598-280c-42ab-8c81-b0fc00ef7b5b/550214-60408-o_eCom.png
55021451052,ECCO METROPOLE OSLO,Black,Male,https://p3.aprimocdn.net/ecco/cea75530-f703-4e91-b0dd-b0c200c0f878/550214-51052-o_eCom.png
52230401178,ECCO METROPOLE SEOUL,Brown,Male,https://p3.aprimocdn.net/ecco/6633d6ec-ce9e-4334-83f9-b16200a073bd/522304-01178-o_eCom.png
52230401001,ECCO METROPOLE SEOUL,Black,Male,https://p3.aprimocdn.net/ecco/0be09bad-b254-4cee-afa4-b16200af0f0a/522304-01001-o_eCom.png
49019301053,ECCO MODTRAY,Brown,Female,https://p3.aprimocdn.net/ecco/39ac81d5-8d01-41c8-8579-b0c1013cb8ca/490193-01053-o_eCom.png
22350301001,ECCO METROPOLE SEOUL 45,Black,Female,https://p3.aprimocdn.net/ecco/cf56d3e9-f622-4889-9e97-b1a300e6374d/223503-01001-o_eCom.png
910796090395,ECCO SOFT NORTH-SOUTH,Red,Genderless,https://p3.aprimocdn.net/ecco/465222ed-4bde-4c07-b28a-b14f012d2fee/9107960-90395-m_eCom.png
86023450460,ECCO STREET ACE RAL7000,White,Male,https://p3.aprimocdn.net/ecco/af70099d-bd1b-4da7-946c-b1a200afd46e/860234-50460-o_eCom.png
86023350460,ECCO STREET ACE RAL7000,White,Female,https://p3.aprimocdn.net/ecco/b614ff7e-3d5b-4553-bfc6-b19200a01f13/860233-50460-o_eCom.png
84141451052,ECCO OFFROAD,Black,Male,https://p3.aprimocdn.net/ecco/f7d41b4f-3dfc-4cb7-b6c5-b19c00e08b7c/841414-51052-o_eCom.png
84141450236,ECCO OFFROAD,White,Male,https://p3.aprimocdn.net/ecco/9358237b-a75d-45b9-a23a-b1dc01062be7/841414-50236-o_eCom.png
84140451728,ECCO OFFROAD,Beige,Male,https://p3.aprimocdn.net/ecco/4a148ed2-7c2e-47fd-8b89-b1c400de5908/841404-51728-o_eCom.png
910782990387,ECCO TOTE PEBBLED,Beige,Genderless,https://p3.aprimocdn.net/ecco/050bfe20-aa4c-40c6-ab81-b0b2015814a8/9107829-90387-m_eCom.png
910782990000,ECCO TOTE PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/cfe5cd5e-6005-41f0-b1cf-b0b2015833fc/9107829-90000-m_eCom.png
13040460912,ECCO GOLF BIOM C4,Grey,Male,https://p3.aprimocdn.net/ecco/17d3b687-6cfa-460c-a18b-b090007d99f0/130404-60912-o_eCom.png
13040457208,ECCO GOLF BIOM C4,White,Male,https://p3.aprimocdn.net/ecco/b1f2f213-5c7e-4b55-854f-b08f00f080cd/130404-57208-o_eCom.png
910793590172,ECCO PINCH MEDIUM SOFT,Pink,Genderless,https://p3.aprimocdn.net/ecco/d9b48e98-ca1d-4cb2-aa52-b0ad00b31320/9107935-90172-m_eCom.png
13040401001,ECCO GOLF BIOM C4,Black,Male,https://p3.aprimocdn.net/ecco/720bb706-5470-4c15-b5d1-b09000960138/130404-01001-o_eCom.png
